2 5549 2 48 10
2 5549 1 49 6
3 5906 1 30 18
2 5852 2 49 4
2 5685 2 30 6
3 5980 2 53 1
3 5980 2 50 2
3 5915 1 56 6
3 5916 1 57 3
3 5986 1 50 5
3 5577 2 56 2
2 5930 2 31 4
3 5865 2 52 4
2 5692 1 38 2
2 5693 2 32 8
2 5842 2 50 1
2 5844 1 52 1
2 5994 2 40 1
2 5994 2 44 3
2 5997 1 28 1
2 5753 1 49 3
2 5762 1 43 1
2 6431 1 46 3
2 6433 2 34 8
2 6200 1 49 3
2 6200 1 57 1
2 6519 2 52 3
3 6250 2 49 3
3 6253 2 46 3
3 6255 2 53 5
2 6242 1 36 1
2 6603 2 44 2
2 6604 1 37 1
2 6604 2 49 9
3 6578 1 60 1
2 6328 2 32 1
3 6264 2 56 1
2 6606 1 52 8
3 6494 1 48 3
3 6589 1 56 1
2 6559 1 44 1
2 6559 2 29 1
2 6559 2 27 2
2 6566 2 41 2
2 6653 1 56 3
2 6332 2 41 5
3 6339 1 58 1
2 6513 2 19 3
2 6513 1 54 1
2 6514 1 58 1
2 7089 2 57 1
3 6569 1 60 1
2 6103 2 50 6
2 6062 1 41 1
3 6017 1 52 2
2 6752 2 53 6
2 6754 1 53 2
2 6070 2 26 1
2 6114 1 50 2
2 6114 2 45 4
2 6091 2 16 1
3 6034 2 57 1
2 6074 2 48 3
2 6075 2 42 1
3 6127 1 44 1
3 6128 1 48 5
2 5414 1 45 2
2 5725 1 43 1
2 5736 2 43 1
3 5352 2 39 1
3 6903 2 39 3
3 5163 1 28 11
3 5163 1 27 13
2 5234 1 44 11
3 5134 2 42 2
2 5604 2 41 2
3 6897 1 58 1
2 5275 2 45 5
2 5256 1 33 2
3 5357 1 42 2
3 5359 2 59 1
2 5360 1 51 1
2 5277 1 47 4
2 5327 1 44 1
2 5613 1 40 1
3 5131 1 59 1
2 5269 2 52 1
2 5270 1 23 1
2 5495 2 58 1
2 5376 2 52 6
2 5172 2 46 10
3 5418 2 52 14
3 5348 1 59 3
2 6541 2 28 2
3 6645 1 48 1
2 6656 2 37 1
2 6656 1 45 2
2 6700 2 52 1
3 6675 2 45 4
2 6683 1 50 2
1 7153 1 24 2
1 7153 2 37 1
1 7137 2 46 11
1 7140 1 49 10
1 336 2 47 11
1 336 1 50 5
1 43 1 51 10
1 7148 2 48 5
1 21 2 49 2
1 61 2 47 12
1 6728 1 50 12
1 292 2 53 1
1 271 1 50 1
1 6814 1 51 13
1 7121 2 53 2
1 7123 2 52 6
1 158 1 51 5
1 134 1 48 2
1 135 1 46 2
1 452 1 50 1
1 366 1 59 1
1 368 1 53 2
1 373 1 54 7
1 263 1 55 2
1 7130 1 25 1
1 239 1 49 9
1 242 2 48 17
1 169 2 46 4
1 18 2 95 1
1 304 2 31 1
1 267 2 55 1
1 455 2 45 7
1 315 2 45 3
1 436 1 46 1
1 432 2 25 1
1 6811 1 42 1
1 496 2 54 1
1 496 1 48 11
1 391 1 45 8
1 7110 1 36 1
1 7110 1 42 6
1 7260 2 45 2
1 7260 2 48 1
1 614 1 59 1
1 7188 2 51 5
1 7189 1 52 8
1 699 1 54 1
1 7199 1 59 1
1 7200 2 45 1
1 633 2 52 4
1 635 1 45 1
1 96 1 48 4
1 456 2 45 6
1 193 1 49 5
1 7308 2 42 9
1 6797 1 44 7
1 463 1 43 2
1 463 1 51 4
1 465 2 43 4
1 468 2 40 1
1 197 2 41 1
1 198 2 49 14
1 101 1 50 3
1 470 2 43 6
1 86 2 53 1
1 7268 2 53 2
1 209 2 42 1
1 7215 1 54 7
1 705 1 40 4
1 708 1 45 5
1 7270 2 45 1
1 628 2 46 4
1 603 2 60 3
1 603 2 61 1
1 246 2 47 7
1 7321 1 52 2
