"yr" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"20" 2001 365564.945945946 390341.891891892 151764.803803804 124038.397697698 266412.658658659 264379.508508509 113729.324024024 54463.0426426426 164855.602602603 119034.238838839 47057.7814814815 38986.4476476476 17103.2381081081 6282.12928828829 18187.7360560561
"21" 2002 216499.383383383 118012.779079079 169578.884484484 214745.136136136 219426.072072072 257329.586586587 138665.534134134 60132.4553553554 76209.7810810811 143718.685985986 70752.2753753754 32135.3129129129 19098.5170870871 6665.60208208208 8299.17111111111
"22" 2003 152926.531131131 44045.0042042042 102661.383683684 147301.376976977 173939.548548549 154913.754954955 201777.893893894 109884.524724725 45957.6095095095 67084.3744744745 130145.703503503 61142.7105105105 26426.7633933934 10692.3478278278 12450.474974975
"23" 2004 140474.637337337 125857.883283283 49512.5678678679 292195.862862863 273919.374374374 198130.274274274 117458.577977978 125132.743643644 66826.4101101101 39098.8194194194 41452.6202202202 74464.8365365365 34784.3031031031 10200.2014814815 7633.84242242242
"24" 2005 166533.725725726 52210.4626626627 31588.1096096096 73099.2657657658 272812.974974975 217888.525525526 142038.250850851 82832.9007007007 78869.327027027 62279.333033033 20837.824974975 47086.4556556557 84068.7243243243 36603.1397397397 43617.5722722723
"25" 2006 604937.658658659 21086.4907807808 12621.2986986987 49360.4356356356 140980.070570571 204473.259259259 158368.281281281 90257.4294294294 69119.3691691692 76180.288988989 41191.2314314314 30462.5181181181 49201.2112112112 60387.5973973974 68893.3305305305
"26" 2007 770293.482482482 13171.3468768769 12764.7024124124 28364.4707307307 107273.121421421 164270.093593594 157899.176176176 137578.174274274 71074.3680680681 48190.7553553554 43121.2326326326 38438.760960961 26258.0536836837 31078.8878878879 67408.0955955956
"27" 2008 217877.488788789 30690.5517117117 24426.8595795796 61936.8173173173 161189.802502502 310499.372372372 237057.098098098 155841.143943944 95825.8313313313 35650.0993993994 30379.3506506507 22807.3883983984 10992.230950951 6233.27667667668 40233.3172172172
"28" 2009 322498.637637638 79642.4073073073 148595.284184184 176719.883183183 89127.6222222222 143750.082882883 197170.496496496 152939.995795796 110400.119019019 52028.2482482482 34734.7944944945 12057.6215415415 12148.0675975976 6528.20184184184 28917.5762762763
"29" 2010 180971.151551552 36933.1455455455 57215.262962963 463833.23023023 236609.204204204 82535.6808808809 81672.4686686687 85523.1205205205 91762.676976977 60038.9093093093 52658.6807807808 18924.0103103103 11452.7888588589 7478.22864864865 17710.0851951952
"30" 2011 565869.19019019 51265.5966966967 72862.2861861862 81903.3918918919 401134.748748749 207312.757757758 68842.9068068068 43086.0116116116 70068.6398398398 69449.5312312312 59403.2831831832 46430.2136136136 19600.4943043043 9519.45681681682 27145.7501501502
"31" 2012 356890.104104104 65780.2302302302 112046.831131131 886892.252252252 175158.691291291 248528.019019019 80627.5748748749 33504.5932932933 26195.9575575576 36051.0640640641 29257.5354354354 26099.2297297297 21731.3289289289 8117.44301301301 14456.0718818819
"32" 2013 265254.688688689 22864.578048048 47247.9885885886 173787.641441441 862220.127127127 195312.219219219 118989.26996997 42461.4387387387 14082.0467967968 13161.6883583584 17908.8006706707 13197.4665265265 12285.5255255255 6815.23947947948 9208.76191191191
"33" 2014 314599.156156156 34083.7604604605 25223.2298898899 42921.8676676677 196081.382382382 650394.346346346 327995.638638639 64056.7016016016 35263.2650650651 13066.1305005005 5295.73622622623 7314.41333333333 7436.50287287287 3435.26751651652 9573.38429429429
"34" 2015 181226.477477477 89822.3757757758 266360.221221221 64788.4124124124 145921.085585586 276047.176176176 542971.936936937 154353.783783784 34381.1770770771 16280.1554954955 2080.84817447447 1782.79224524525 3291.41458158158 1641.45057497498 3884.18991691692
